voz,total_notas,notas_en_rango,pct_en_rango,vl_promedio,colisiones
Soprano,77,77,100.0,3.82,0
Alto,77,77,100.0,2.79,0
Tenor,77,77,100.0,3.26,0
Bajo,77,77,100.0,3.34,0
