voz,total_notas,notas_en_rango,pct_en_rango,vl_promedio,colisiones
soprano,617,617,100.0,2.87,0
alto,617,617,100.0,4.25,0
tenor,617,617,100.0,3.22,0
bajo,617,617,100.0,4.07,0
