voz,total_notas,notas_en_rango,pct_en_rango,vl_promedio,colisiones
Violin_I,15,15,100.0,2.86,0
Violin_II,15,11,73.33,2.86,0
Viola,15,2,13.33,2.86,0
Cello,15,0,0.0,2.86,0
