voz,total_notas,notas_en_rango,pct_en_rango,vl_promedio,colisiones
Melodia,8,8,100.0,1.29,0
Voz_Media,8,8,100.0,3.71,0
Bajo_Jazz,8,8,100.0,4.57,0
