voz,total_notas,notas_en_rango,pct_en_rango,vl_promedio,colisiones
Soprano,12,12,100.0,4.82,0
Alto,12,12,100.0,3.64,0
Tenor,12,12,100.0,4.09,0
Bajo,12,12,100.0,2.36,0
