voz,total_notas,notas_en_rango,pct_en_rango,vl_promedio,colisiones
Violin_I,4,4,100.0,4.67,0
Violin_II,4,4,100.0,4.67,0
Viola,4,3,75.0,4.67,0
Cello,4,0,0.0,4.67,0
