voz,total_notas,notas_en_rango,pct_en_rango,vl_promedio,colisiones
soprano,1279,1279,100.0,4.19,0
alto,1279,1279,100.0,2.95,0
tenor,1279,1279,100.0,3.89,0
bajo,1279,1279,100.0,3.83,0
