voz,total_notas,notas_en_rango,pct_en_rango,vl_promedio,colisiones
Soprano,1069,1069,100.0,3.34,0
Alto,1069,1069,100.0,3.97,0
Tenor,1069,1069,100.0,3.46,0
Bajo,1069,1069,100.0,4.02,0
